Event Name,Start,End,Location,Description,Organizer,Event URL,Relevance,City,Source CSV
Monthly overview of IRI's Global Seasonal Climate Forecasts and ENSO status and forecast,"August 17, 2023, 02:00 PM","August 17, 2023, 03:00 PM", Online," The International Research Institute for Climate and Society (IRI) presents its climate forecast briefing. The IRI's seasonal, sub-seasonal and ENSO (El Niño Southern Oscillation) forecasts are discussed in this monthly briefing by IRI climate scientists Azhar Ehsan and Bohar Singh", IRI Seminar,https://www.climate.columbia.edu/events/monthly-overview-iris-global-seasonal-climate-forecasts-and-enso-status-and-forecast-31,TRUE,nyc,/Users/raiidahmed/PycharmProjects/Event-Extractor-With-GUI/URL DATA TEST/climate_tech_columbia_nyc.csv
W.S. Jardetzky Lecture,"September 08, 2023, 03:30 PM","September 08, 2023, 04:30 PM","Lamont-Doherty Earth Observatory, 61 Route 9W, Palisades, NY 10964 Monell Auditorium","The Jardetzky lecture in geophysics honors the late Wenceslas S. Jardetzky, a renowned researcher and educator whose flourishing scientific career in Europe was halted by World War II and revived after he emigrated to the United States. From 1949 until his death in 1962, he was a research associate at Lamont-Doherty, where he collaborated with Frank Press, former president of the National Academy of Sciences, and Maurice Ewing, Lamont-Doherty's founder, on a well-known and widely used scientific book, Elastic Waves in Layered Media.",Dr. Einat Lev,https://www.climate.columbia.edu/events/ws-jardetzky-lecture,TRUE,nyc,/Users/raiidahmed/PycharmProjects/Event-Extractor-With-GUI/URL DATA TEST/climate_tech_columbia_nyc.csv
"Mindfulness, citizenship, & engagement","September 11, 2023, 02:00 PM","September 11, 2023, 03:00 PM",Online,"Discover how youth leadership and innovation can contribute to addressing global climate change and achieving the Sustainable Development Goals (SDGs) by joining our upcoming webinar series titled ""Fostering Youth-Led Innovation for the SDGs."" Delivered jointly by Entrepreneurship @ Environment at the University of Waterloo and Center for Sustainable Development at Columbia University, this series will explore ‘how’ and ‘why’ transformative approaches to education can be used as a vehicle for empowering young people to drive the type of innovations and entrepreneurial ventures that are necessary to drive progress on the 2030 agenda.",Entrepreneurship @ Environment at the University of Waterloo and Center for Sustainable Development at Columbia University,https://www.climate.columbia.edu/events/mindfulness-citizenship-engagement,TRUE,nyc,/Users/raiidahmed/PycharmProjects/Event-Extractor-With-GUI/URL DATA TEST/climate_tech_columbia_nyc.csv
LDEO Earth Science Colloquium,"September 15, 2023, 03:30 PM","September 15, 2023, 04:30 PM"," Lamont-Doherty Earth Observatory, 61 Route 9W, Palisades, NY 10964 Monell Auditorium"," The Earth Science Colloquium Series, sponsored by Lamont-Doherty Earth Observatory and Columbia University Department of Earth and Environmental Sciences (DEES), provides a lively forum for discussing a wide variety of topics within the Earth sciences and related fields. Colloquia are attended by the full range of scientific and technical staff at LDEO. Colloquium attendance is required of all pre-orals DEES graduate students. The Colloquium Series supports the Lamont Seminar Diversity Initiative. ", Dr. Einat Lev,https://www.climate.columbia.edu/events/ldeo-earth-science-colloquium-1,TRUE,nyc,/Users/raiidahmed/PycharmProjects/Event-Extractor-With-GUI/URL DATA TEST/climate_tech_columbia_nyc.csv
INNOV-EAT Expedition,"September 21, 2023, 09:00 AM","September 21, 2023, 03:00 PM","The Forum at Columbia University, 601 W. 125th St., New York, NY 10027 Auditorium","Join us through the far-reaches of food systems innovation. In this event, we will embark on a trailblazing adventure, exploring ground breaking innovations and strategies to transform global food systems. Prepare to challenge the status quo and address the root causes of food system issues. Innovation comes with its share of failures. We'll celebrate the lessons learned from these missteps and embrace them as stepping stones on our path to success. Through engaging keynote presentations and panel discussions, we'll openly share and learn from the failures that have paved the way for innovation. The event will bring together experts from diverse backgrounds, uniting stakeholders across the food system, including youth. We aim to cultivate a community that champions systemic innovation and technology. By fostering collaboration, we strive to inspire action towards a resilient, inclusive, and sustainable food future. Event objective To showcase the latest technological innovations that can be used to transform food systems, and to demonstrate how these technologies can be leveraged to promote more sustainable practices. To celebrate and learn from failures as valuable stepping stones towards success, and that have paved the way for innovations. To facilitate dialogue and collaboration among diverse stakeholders across the food system and to cultivate a community that champions systemic innovation and technology To share best practices, research findings, and case studies that highlight successful examples of systemic and technological innovation in food systems, and to showcase the positive impact that these innovations can have on the environment, society, and the economy. To inspire and empower youth, individuals and organizations to embrace innovation and sustainable food systems",Columbia Climate School,https://www.climate.columbia.edu/events/innov-eat-expedition,TRUE,nyc,/Users/raiidahmed/PycharmProjects/Event-Extractor-With-GUI/URL DATA TEST/climate_tech_columbia_nyc.csv
Climate Week NYC 2022,"September 21, 2023, 02:00 PM","September 21, 2023, 03:00 PM",Online,"The International Research Institute for Climate and Society (IRI) presents its climate forecast briefing. The IRI's seasonal, sub-seasonal and ENSO (El Niño Southern Oscillation) forecasts are discussed in this monthly briefing by IRI climate scientists Azhar Ehsan and Bohar Singh.",IRI Seminar,https://www.climate.columbia.edu/events/monthly-overview-iris-global-seasonal-climate-forecasts-and-enso-status-and-forecast-32,TRUE,nyc,/Users/raiidahmed/PycharmProjects/Event-Extractor-With-GUI/URL DATA TEST/climate_tech_columbia_nyc.csv
LDEO Earth Science Colloquium,"September 22, 2023, 03:30 PM","September 22, 2023, 04:30 PM","Lamont-Doherty Earth Observatory, 61 Route 9W, Palisades, NY 10964, Monell Auditorium","The Earth Science Colloquium Series, sponsored by Lamont-Doherty Earth Observatory and Columbia University Department of Earth and Environmental Sciences (DEES), provides a lively forum for discussing a wide variety of topics within the Earth sciences and related fields. Colloquia are attended by the full range of scientific and technical staff at LDEO. Colloquium attendance is required of all pre-orals DEES graduate students. The Colloquium Series supports the Lamont Seminar Diversity Initiative.",Dr. Einat Lev,https://www.climate.columbia.edu/events/ldeo-earth-science-colloquium-2,TRUE,nyc,/Users/raiidahmed/PycharmProjects/Event-Extractor-With-GUI/URL DATA TEST/climate_tech_columbia_nyc.csv
LDEO Earth Science Colloquium,"September 29, 2023, 03:30 PM","September 29, 2023, 04:30 PM","Lamont-Doherty Earth Observatory, 61 Route 9W, Palisades, NY 10964 Monell Auditorium","The Earth Science Colloquium Series, sponsored by Lamont-Doherty Earth Observatory and Columbia University Department of Earth and Environmental Sciences (DEES), provides a lively forum for discussing a wide variety of topics within the Earth sciences and related fields. Colloquia are attended by the full range of scientific and technical staff at LDEO. Colloquium attendance is required of all pre-orals DEES graduate students. The Colloquium Series supports the Lamont Seminar Diversity Initiative.",Dr. Einat Lev,https://www.climate.columbia.edu/events/ldeo-earth-science-colloquium-3,TRUE,nyc,/Users/raiidahmed/PycharmProjects/Event-Extractor-With-GUI/URL DATA TEST/climate_tech_columbia_nyc.csv
LDEO Earth Science Colloquium,"October 06, 2023, 03:30 PM","October 06, 2023, 04:30 PM"," Lamont-Doherty Earth Observatory, 61 Route 9W, Palisades, NY 10964"," The Earth Science Colloquium Series, sponsored by Lamont-Doherty Earth Observatory and Columbia University Department of Earth and Environmental Sciences (DEES), provides a lively forum for discussing a wide variety of topics within the Earth sciences and related fields. Colloquia are attended by the full range of scientific and technical staff at LDEO. Colloquium attendance is required of all pre-orals DEES graduate students. The Colloquium Series supports the Lamont Seminar Diversity Initiative.", Dr. Einat Lev,https://www.climate.columbia.edu/events/ldeo-earth-science-colloquium-4,TRUE,nyc,/Users/raiidahmed/PycharmProjects/Event-Extractor-With-GUI/URL DATA TEST/climate_tech_columbia_nyc.csv
Scaling & commercializing innovation for climate action,"October 10, 2023, 02:00 PM","October 10, 2023, 03:00 PM",Online,"Discover how youth leadership and innovation can contribute to addressing global climate change and achieving the Sustainable Development Goals (SDGs) by joining our upcoming webinar series titled ""Fostering Youth-Led Innovation for the SDGs."" Delivered jointly by Entrepreneurship @ Environment at the University of Waterloo and Center for Sustainable Development at Columbia University, this series will explore ‘how’ and ‘why’ transformative approaches to education can be used as a vehicle for empowering young people to drive the type of innovations and entrepreneurial ventures that are necessary to drive progress on the 2030 agenda.",Columbia Climate School,https://www.climate.columbia.edu/events/scaling-commercializing-innovation-climate-action,TRUE,nyc,/Users/raiidahmed/PycharmProjects/Event-Extractor-With-GUI/URL DATA TEST/climate_tech_columbia_nyc.csv
