event-href,organizer_link-href,full_description
https://www.eventbrite.com/e/sat-june-3rd-latino-nyc-sunset-booze-cruise-tickets-615217862187?aff=ebdssbdestsearch,https://www.eventbrite.com/o/social-society-group-58902016983,"LATINO NYC SUNSET BOOZE CRUISEElevate your NYC nightlife experience with Latin Vibes on the Water! The Cabana Yacht is the place to be as you party the night away with your favorite people. Indulge in the mouthwatering buffet-style tacos and quench your thirst with our refreshing drinks while taking in the stunning views of the city skyline. With amazing live music and a lively atmosphere, this yacht party is not to be missed!Your Experience Includes:2 levels of climate controlled cabins - Main Floor and Upper DeckHookah available upon requestVIP Bottle Service and Sections Available - Call/Text (929)-333-4651 and/or email thesocialsocietygroup@gmail.com for more informationWaitress Service - order drinks right to your tableFood available for purchaseLive music provided by top DJs all night long - Hip Hop, R&B, Latin Music!Large indoor dance floor and indoor seating areasEtiquette:Dress to Impress - TRENDY & COMFORTABLE No  joggers, sweats, or basketball shorts!Event Information:Location @ CABANA YACHT - 2 Levels Climate Controlled Main Floor + Upper Deck Skyport Marina Cabana Yacht 23rd Street & FDR Drive, New York, NY 10010Boarding: 5:45PM | Returning: 10:00PM21+ w/ Physical ID | Drinks | Hookah Available | Bottle Service | Dinner Menu | Live Music Birthday Celebrations | Anniversary | Graduation | Bachelor/Bachelorette | Holiday Inquiries: Call/Text: (929)-333-4651 | Email: thesocialsocietygroup@gmail.com | Visit: www.SocialSocietyGroup.com"
https://www.eventbrite.com/e/alexis-rockman-oceanus-with-christina-brophy-tickets-630358668747?aff=ebdssbdestsearch,https://www.eventbrite.com/o/rizzoli-bookstore-11785715523,"O﻿n World Oceans Day, artist Alexis Rockman presents his monumental new series Oceanus  depicting an ominous and complex vision of ocean life affected by humankind. In conversation with Christina Brophy.P﻿LEASE NOTE: This free event is first come, first served; RSVPs are encouraged. Seating is limited. Doors open at 5:30 pm. Can't attend? Preorder your signed copy here.Fueled by an abiding concern with environmental crisis for more than three decades, contemporary artist Alexis Rockman (b. 1962) depicts an ominous and complex vision of ocean life affected by humankind in a monumental new series titled Oceanus. Alexis Rockman: Oceanus takes the viewer on a global journey of discovery beneath the world's changing seas, through the artist's ethereal and sublime renderings of real and imaginary marine life within a fragile ecosystem. Published to accompany an ambitious traveling exhibition in North America and abroad, this volume documents Rockman's newly executed 8 x 24-foot panoramic painting Oceanus and ten related large watercolors, important works that tell the story of humanity's indelible relationship with the ocean and the connections between the sea and our own survival, as the artist deftly weaves natural history, art history, archaeology, adventure, political analysis, and science into a story about the human condition. Complementing this stunning presentation of Rockman's paintings--as well as many details and photographs documenting the artist's process, along with a rich selection of contextual imagery--are essays by leading writers and scholars on such topics as maritime and oceanic history and Rockman's work within the larger context of art history.
Alexis Rockman is a contemporary American painter known for his fantastical paintings of dystopian natural environments. Rockman tackles ecological issues—such as climate change and species extinction—through his large-scale artworks. Part-artist, part-activist, he confronts pressing social issues head on through carefully rendered paintings of animals and their rapidly changing environments.Christina Brophy is Senior Director of Museum Galleries and Senior Vice President of Curatorial Affairs at the Mystic Seaport Museum."
https://www.eventbrite.com/e/sat-527-latin-vibes-sunset-yacht-party-memorial-day-weekend-tickets-615202385897?aff=ebdssbdestsearch,https://www.eventbrite.com/o/nyc-cruise-party-33712169775,"LATIN VIBES YACHT PARTY - MEMORIAL DAY WEEKENDJoin us for an unforgettable evening on the Cabana Yacht as we sail through the East/Hudson River with Latin Vibes on the Water! Take in the mesmerizing views of the NYC skyline while dancing to the beats of the best live music. Savor the delicious buffet-style tacos and sip on refreshing drinks as you create memories that will last a lifetime. This yacht party is a must-attend event of the year!Your Experience Includes:2 levels of climate controlled cabins - Main Floor and Upper DeckHookah available upon requestVIP Bottle Service and Sections Available - Call/Text (929)-333-4651 and/or email NYCCruiseparty@gmail.com for more informationWaitress Service - order drinks right to your tableFood available for purchaseLive music provided by top DJs all night long - Hip Hop, R&B, Latin Music!Large indoor dance floor and indoor seating areasEtiquette:Dress to Impress - TRENDY & COMFORTABLE No  joggers, sweats, or basketball shorts!Event Information:Location @ CABANA YACHT - 2 Levels Climate Controlled Main Floor + Upper Deck Skyport Marina Cabana Yacht 23rd Street & FDR Drive, New York, NY 10010Boarding: 5:45PM | Returning: 10:00PM21+ w/ Physical ID | Drinks | Hookah Available | Bottle Service | Dinner Menu | Live Music Birthday Celebrations | Anniversary | Graduation | Bachelor/Bachelorette | Holiday Inquiries: Call/Text: (929)-333-4651 | Email: NYCCruiseparty@gmail.com | Visit: www.NYCCruiseparty.com"
https://www.eventbrite.com/e/all-white-all-night-hip-hop-rb-boat-party-cruise-tickets-571079753917?aff=ebdssbdestsearch,https://www.eventbrite.com/o/boat-parties-of-america-20030892557,"Get ready to set sail in style with the All White All Night Hip Hop Boat Party! Dress to impress in your best white outfit and dance the night away to the hottest beats on the water. Don't miss this unforgettable evening of music, drinks, and good vibes!Your Cruise Experience Includes:Scenic 3-hour cruise of the NYC harbor;Captivating views of the Manhattan skyline including the Statue of Liberty, Brooklyn Bridge, Ellis Island, the Freedom Tower and more;Open-Air deck and a climate-controlled cabins;Live DJs playing all styles of Hip Hop, Oldies, R&B but also Latin, Reggaeton and more!Rain? No problem, there are indoor dance floors and indoor sitting areas! Food Available for Purchase.VIP Ticket Includes Express Line Entry.Free Street Parking Available around the area;Contact us for more information & special reservations: info@crustnation.com or call / text  Allan  (646) 263 -4593A﻿LL WHITE ATTIRE ENCOURAGED BUT NOT MANDATORY!Event Information:AVALON YACHTBoarding: 11:00 PMDeparture: 11:45 PMReturn: 2:30 AMEnds:3:00 AMRain or Shine21 & over with a physical ID (no photos of ID accepted)"
https://www.eventbrite.com/e/the-1-hip-hop-rb-memorial-day-party-cruise-nyc-tickets-559140423057?aff=ebdssbdestsearch,https://www.eventbrite.com/o/iboatnyc-12316350145,"Memorial Day Weekend is here and so is the #1 Yacht Party in New York City! Join us for a Memorial Day Friday boat party like no other! Get ready to groove to the hottest Hip Hop and R&B beats while enjoying breathtaking views of the City Skyline!Bring your friends and family on a lavish ride around New York as we enjoy weekend events this season! It’s a night for fun, family and friends!Your Cruise Experience Includes:Scenic 3-hour cruise of the NYC harbor;Captivating views of the Manhattan skyline including the Statue of Liberty, Brooklyn Bridge, Ellis Island, the Freedom Tower and more;Waitress Service Available ; Order Drinks directly to your table.VIP Bottle Service & Sections Available - Call/text Allan (646)-263-4593 and/or email rsvp@iboatnyc.com for the Bottle Services Flyer & Packages.Open-Air deck and a climate-controlled cabins. 3 levels of music (Outdoor Floor of Music ; Two Indoor Floors of Music).Live DJs playing all styles of Hip Hop, R&B, Afrobeats, Oldies, Top40 & more.Rain? No problem, there are two large  indoor dance floors and indoor sitting areas! Food Available for Purchase. The purchase of the GROUP VIP Champagne Dinner Tickets guarantees reserved seating (Groups of 10 or more).Great for Birthday Celebrations / bachelorette / bachelor / anniversary / graduations & more (Balloons & Cakes permitted - no other outside food allowed). Birthday and Special occasion flyers available as  add-ons in the ticket section!Dedicated Party Photography Services Available (more details in the add-ons ticket section).VIP Ticket Includes Express Line Entry.Free Street Parking Available around the Pier (it is relatively easy to find parking).  Pier 15 has parking garages for an average of $40.00 per vehicle. Pier 40 also serves as a large parking complex with an average rate of $40.00 per vehicle.The dress code is Dress to Impress: No hats | No Tims/boots | No joggers | No sweats | No basketball shorts. Contact us for more information & special reservations: rsvp@iboatnyc.com or call / text  Allan  (646) 263 -4593Dinner Menu Includes:- ""Wendy Style"" Fish n' Chips[ Fried Fish, Oven Roasted Potatoes, Sauteed String Beans & Baby Carrots ]- Wendy’s Famous Jerk Chicken[ Jamaican Jerk Chicken, Pasta Salad, Fried Plantains, Rice & Beans ] - Italian Stallion Baked Ziti[ Baked Ziti, Oven Roasted Potatoes, Mixed Green Salad ] - The Loaded Mediterranean Falafel Bowl[ Authentic Palestinian Falafels, Sauteed String Beans & Baby Carrots, Rice & Beans,  Mixed Green Salad ]Mix & Match + add more to your plate (at no extra cost 😉)! Buffet Style! - Wild Wild West Buffalo Wings- Blast to the Past Chicken Nuggets- All American Mac n Cheese- Deli Pasta Salad- Empanadas (Beef, Chicken, & Cheese)+ our Famous Crust Nation Pizza powered by Table 87Event Information:Boarding: 10 PMDeparture: 10:30 PMReturn: 1.30 AMEnds: 2 AMRain or Shine21 & over with proper ID (no pictures of ID accepted)Did you enjoy your concert cruise experiences? Learn more about our partner Hudson-360.com, one of NYC's premier audio and visual production companies that offers event production & marketing services, audio and visual solutions and can book any artist for your next event.MENUS"
https://www.eventbrite.com/e/gemini-circus-black-and-white-boat-party-tickets-392028376427?aff=ebdssbdestsearch,https://www.eventbrite.com/o/bbp-ent-gdaprez-7834761093,"BOAT PARTY YACHT CRUISE BRING FRIEND & FAMILY ENJOY A NIGHT OUT ONTHE HUDSON RIVERAbout this eventPlease see times & boarding location belowNew York City YACHT CRUISE BOAT PARTY | EXPERIENCEManhattan WatersGet your tickets asap, this was previously sold out!We're sailing on the lux Mega Yacht - !Get ready to drop it down and bring it up, it’s time to party New York!Experience Includes:LIVE DJ 'S ALL AROUND THE YACHTScenic 3.5-hour cruise of the NYC harbor;Cash Bar (liquor drinks, beer, wine & soda);Captivating views of the Manhattan skyline including the Statue of Liberty, Brooklyn Bridge, Ellis Island, the Freedom Tower and more;Waitress Service Available ; Order Drinks directly to your tableVIP Bottle Service Available also available.Open-Air deck and 4 climate-controlled dance floors ;The dress code is *Trendy*Rain? No problem, there are three large indoor dance floors!There are four outdoor decks to dance under the stars.Contact us for special reservations: bbpent1@gmail.com*INVITE THE WHOLE FAMILY! The right place to celebrate your birthday, surprise birthday, bachelor/bachelorette, family reunion, graduation, holidays & many more. All ages of guests have attended our concerts. from 21+ all the way to 70 years old! An experience for ALL!*EVENT CALENDAR & BOARDING INFO : HORNBLOWER CRUISESBoarding location & timeSATURDAY JUNE 17TH - TIMELESS YACHTPier 36299 SOUTH STREET , New York, NY, 10014BOADING 10:30 PMDEPARTS : 11:30 PMRETURNS: 4:00AM21 & over with proper PHYSICAL IDNo RefundsDress Code Policy: *TRENDY* (Dress to Impress!) BLACK AND WHITE ATTIRE- Gentlemen: Shoes,  sneakers, no boots, button down shirts, polo shirts and jeans are acceptable.- Ladies: Casual & Classy- No durags (wave caps)- No baggy attire!follow @GDAPREZ all social mediaIF any boarding location or time changes we will send you an email"
https://www.eventbrite.com/e/hip-hop-vs-reggae-nyc-jewel-yacht-party-cruise-skyport-marina-simmsmovement-tickets-629554583707?aff=ebdssbdestsearch,https://www.eventbrite.com/o/nyc-chase-simms-simmsmovement-event-group-12071565564,"The Jewel Yacht Fridays & Saturdays read belowFRIDAY Dates May 5th, May 12th, May 19th, May 26th 11:45pmThe Spring Edition Friday Midnight Yacht party Cruise at Skyport Marina Jewel Yacht located at 2430 FDR Dr, New York, NY 10010. Join us at the Hottest Spring Edition Friday Midnight Yacht party Cruise Yacht Party in with NYC Hottests Djs while enjoying views of the Manhattan Cities Skyline!Limited Tickets ** Limited CapacityWhat You'll GetCustomers can arrive by 11:45 p.m. for check-in with yachtBottle service priority Full name & email for priority reservation seating.The yacht will be sailing. Boarding 11:45pm, Sail 12:30am. The Yacht returns to Marina at 3:30am. Please arrive early so you don't miss the Yacht. No Refunds if you miss it!SATURDAY  Dates May 6th, May 13th, May 20th, May27th  11pm The NYC Hip Hop vs. Reggae ® Yacht party Cruises Skyport Marina Jewel Yacht (646) 717-2520The Official Hip Hop vs. Reggae ®Cruises Yacht party at Skyport Marina Jewel Yacht located at 2430 FDR Dr, New York, NY 10010. Join us at the Hottest Hip Hop vs. Reggae® Cruise Yacht Party in with NYC Hottests Djs while enjoying views of the Manhattan Cities Skyline!Limited Tickets ** Limited CapacityCustomers can arrive by :I﻿MPORTANT BOARDING INFORMATION:S﻿ATURDAY BOARDING 11:00pm (The yacht will be sailing. Boarding 10:45pm, Sail 11:30pm. The Yacht returns to Marina at 2:45am. Please arrive early so you don't miss the Yacht. No Refunds if you miss it!)Bottle service priorityFull name & email for priority reservation seating.ID is a Must. Drinks Bar onboard. 2 Floors of music with climate-controlled Main Floor & Upper Deck!Temperature readings upon entry so we can create a safe haven for our attendees!For more ticket information on NYC Hip Hop vs. Reggae ® Midnight Party Jewel Yacht Cruise call/ or text 6467172520 or Chasesimms.eventbrite.comHip Hop vs. Reggae ® is a registered trademark of Gametight New York. All rights reserved."
https://www.eventbrite.com/e/the-youth-festival-at-the-nyc-poetry-festival-tickets-571059784187?aff=ebdssbdestsearch,https://www.eventbrite.com/o/the-poetry-society-of-new-york-6373273797,"The Youth Festival is an NYC Poetry Festival highlight each year, catering to toddlers, teens, and everyone in-between. For the 12th Annual Youth Fest, we're partnering with Teachers & Writers Collaborative, Poetry Out Loud, and Urban Word NYC. Please stay tuned more details regarding this year's programming! Check-in will run from 11:30am-12pm each day, and our programming will begin at noon. All Youth Fest participants will be invited to read on one of our main stages at the end of both days. For more information, please visit  newyorkcitypoetryfestival.com, follow us on Instagram, or join our mailing list!"
https://www.eventbrite.com/e/cabana-yacht-latin-vibes-sunset-yacht-party-tickets-601752617277?aff=ebdssbdestsearch,https://www.eventbrite.com/o/partiesmania-12479353235,21 And Over | Limited Advanced Tickets5:45PM BoardingHookah Available 2 Floor Climate Controlled Main Floor & Upper DeckCABANA YACHTTickets 🎟️ & Information ☎️ 347-801-4381 | 831-207-8027Dohabarlounge.com
https://www.eventbrite.com/e/sunset-yacht-party-nyc-cabana-boat-party-sat-june-3rd-tickets-528415574207?aff=ebdssbdestsearch,,"SUNSET NYC YACHT PARTY!!Saturday, June 3rd**6pm - 10pmThe yacht will be sailing. Boarding 5:30 pm , Sail 6pm. Please arrive early so you don't miss the Yacht. No Refunds if you miss it!Limited tickets available (click tickets to buy yours!)21+ Event. 2 Floors of music with climate-controlled Main Floor & Upper Deck!Hookah available!!NO REFUNDS. ALL SALES FINAL."
